936  [main] INFO  org.linqs.psl.runtime.Runtime  - PSL Runtime Version 2.4.0-aad67da
7363 [main] INFO  org.linqs.psl.util.RandUtils  - Using random seed: 31702938
647239 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 38.86756, Violated Constraints: 0, Total Optimization Time: 377, Total Number of Iterations: 151
647239 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
647253 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
707008 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 65.86594, Violated Constraints: 34, Total Optimization Time: 59476, Total Number of Iterations: 25001
707008 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
707022 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
707411 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 40.01347, Violated Constraints: 0, Total Optimization Time: 386, Total Number of Iterations: 151
707412 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
707426 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
768531 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.67337, Violated Constraints: 34, Total Optimization Time: 60834, Total Number of Iterations: 25001
768531 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
768544 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
768937 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.02034, Violated Constraints: 0, Total Optimization Time: 389, Total Number of Iterations: 151
768937 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
768951 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
828880 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 65.14758, Violated Constraints: 34, Total Optimization Time: 59649, Total Number of Iterations: 25001
828880 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
828893 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
829278 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.493843, Violated Constraints: 0, Total Optimization Time: 379, Total Number of Iterations: 151
829278 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
829292 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
890197 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.70641, Violated Constraints: 34, Total Optimization Time: 60623, Total Number of Iterations: 25001
890198 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
890211 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
890593 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.13468, Violated Constraints: 0, Total Optimization Time: 379, Total Number of Iterations: 151
890593 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
890607 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
950321 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.76443, Violated Constraints: 34, Total Optimization Time: 59442, Total Number of Iterations: 25001
